metadata,metadata_type,stream,time,tracking_id
"{""face_xyxyn"": [0.008928571827709675, 0.3658372163772583, 0.012884385883808136, 0.38467875123023987], ""gender"": ""Female"", ""gender_conf"": 0.6266644597053528, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.37562304735183716, ""upper_Body_xyxyn"": [0.04694964364171028, 0.44155287742614746, 0.09483535587787628, 0.630100429058075], ""lower_Body_xyxyn"": [0.049925852566957474, 0.630100429058075, 0.049925852566957474, 0.630100429058075], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:49, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.36589908599853516, 0.012858289293944836, 0.3847402334213257], ""gender"": ""Female"", ""gender_conf"": 0.6266644597053528, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.37562304735183716, ""upper_Body_xyxyn"": [0.046875327825546265, 0.44147127866744995, 0.09449911117553711, 0.6307814717292786], ""lower_Body_xyxyn"": [0.05005745217204094, 0.6307814717292786, 0.05005745217204094, 0.6307814717292786], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:49, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.36574211716651917, 0.012809565290808678, 0.3845175504684448], ""gender"": ""Female"", ""gender_conf"": 0.7098530530929565, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.40099889039993286, ""upper_Body_xyxyn"": [0.04702940583229065, 0.44118526577949524, 0.09486661106348038, 0.6300718188285828], ""lower_Body_xyxyn"": [0.05025646835565567, 0.6300718188285828, 0.05025646835565567, 0.6300718188285828], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:49, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.3658948540687561, 0.012861920520663261, 0.3846866488456726], ""gender"": ""Female"", ""gender_conf"": 0.7098530530929565, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.40099889039993286, ""upper_Body_xyxyn"": [0.046986598521471024, 0.4417245090007782, 0.07536392658948898, 0.6311547160148621], ""lower_Body_xyxyn"": [0.050428323447704315, 0.6311547160148621, 0.050428323447704315, 0.6311547160148621], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:49, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.3658948540687561, 0.012861920520663261, 0.3846866488456726], ""gender"": ""Female"", ""gender_conf"": 0.7098530530929565, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.40099889039993286, ""upper_Body_xyxyn"": [0.046986598521471024, 0.4417245090007782, 0.07536392658948898, 0.6311547160148621], ""lower_Body_xyxyn"": [0.050428323447704315, 0.6311547160148621, 0.050428323447704315, 0.6311547160148621], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:49, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.3659033179283142, 0.012866565026342869, 0.38467541337013245], ""gender"": ""Female"", ""gender_conf"": 0.7098530530929565, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.40099889039993286, ""upper_Body_xyxyn"": [0.04689054936170578, 0.44168755412101746, 0.09474075585603714, 0.6308315992355347], ""lower_Body_xyxyn"": [0.05022703483700752, 0.6308315992355347, 0.05022703483700752, 0.6308315992355347], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:50, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.3659033179283142, 0.012866565026342869, 0.38467541337013245], ""gender"": ""Female"", ""gender_conf"": 0.7098530530929565, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.40099889039993286, ""upper_Body_xyxyn"": [0.04689054936170578, 0.44168755412101746, 0.09474075585603714, 0.6308315992355347], ""lower_Body_xyxyn"": [0.05022703483700752, 0.6308315992355347, 0.05022703483700752, 0.6308315992355347], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:50, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.3683927655220032, 0.013867472298443317, 0.3887198567390442], ""gender"": ""Male"", ""gender_conf"": 0.7838173508644104, ""age"": ""20-29"", ""age_conf"": 0.4576977491378784, ""ethnicity"": ""East Asian"", ""ethnicity_conf"": 0.3549899756908417, ""upper_Body_xyxyn"": [0.04890257120132446, 0.4489331543445587, 0.07768400758504868, 0.539958655834198], ""lower_Body_xyxyn"": [0.0, 0.0, 0.0, 0.0], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:44:33, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.3664073646068573, 0.012946928851306438, 0.3852896988391876], ""gender"": ""Female"", ""gender_conf"": 0.7098530530929565, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.40099889039993286, ""upper_Body_xyxyn"": [0.04675276204943657, 0.441866397857666, 0.07524026930332184, 0.6305816769599915], ""lower_Body_xyxyn"": [0.0503787137567997, 0.6305816769599915, 0.0503787137567997, 0.6305816769599915], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:50, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.3663550317287445, 0.012914459221065044, 0.38528773188591003], ""gender"": ""Female"", ""gender_conf"": 0.7098530530929565, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.40099889039993286, ""upper_Body_xyxyn"": [0.04691336303949356, 0.4417688548564911, 0.07532238960266113, 0.6306310296058655], ""lower_Body_xyxyn"": [0.05022008344531059, 0.6306310296058655, 0.05022008344531059, 0.6306310296058655], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:50, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.3663550317287445, 0.012914459221065044, 0.38528773188591003], ""gender"": ""Female"", ""gender_conf"": 0.7098530530929565, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.40099889039993286, ""upper_Body_xyxyn"": [0.04691336303949356, 0.4417688548564911, 0.07532238960266113, 0.6306310296058655], ""lower_Body_xyxyn"": [0.05022008344531059, 0.6306310296058655, 0.05022008344531059, 0.6306310296058655], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:50, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.36591145396232605, 0.012834668159484863, 0.3848503828048706], ""gender"": ""Female"", ""gender_conf"": 0.7098530530929565, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.40099889039993286, ""upper_Body_xyxyn"": [0.04710703343153, 0.44121652841567993, 0.0945957824587822, 0.6300820112228394], ""lower_Body_xyxyn"": [0.050108183175325394, 0.6300820112228394, 0.050108183175325394, 0.6300820112228394], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:50, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.3659001588821411, 0.012971224263310432, 0.3849065899848938], ""gender"": ""Female"", ""gender_conf"": 0.7098530530929565, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.40099889039993286, ""upper_Body_xyxyn"": [0.047143686562776566, 0.4415919780731201, 0.07573042064905167, 0.6302371025085449], ""lower_Body_xyxyn"": [0.050700802356004715, 0.6302371025085449, 0.050700802356004715, 0.6302371025085449], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:50, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.3659001588821411, 0.012971224263310432, 0.3849065899848938], ""gender"": ""Female"", ""gender_conf"": 0.7098530530929565, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.40099889039993286, ""upper_Body_xyxyn"": [0.047143686562776566, 0.4415919780731201, 0.07573042064905167, 0.6302371025085449], ""lower_Body_xyxyn"": [0.050700802356004715, 0.6302371025085449, 0.050700802356004715, 0.6302371025085449], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:50, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.36553049087524414, 0.013049803674221039, 0.38469624519348145], ""gender"": ""Female"", ""gender_conf"": 0.7098530530929565, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.40099889039993286, ""upper_Body_xyxyn"": [0.04716983065009117, 0.4414002597332001, 0.07573975622653961, 0.630180835723877], ""lower_Body_xyxyn"": [0.05053181201219559, 0.630180835723877, 0.05053181201219559, 0.630180835723877], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:50, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.36566361784935, 0.01295420341193676, 0.38481375575065613], ""gender"": ""Female"", ""gender_conf"": 0.7098530530929565, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.40099889039993286, ""upper_Body_xyxyn"": [0.04664362221956253, 0.44170498847961426, 0.0754176452755928, 0.6308868527412415], ""lower_Body_xyxyn"": [0.050183843821287155, 0.6308868527412415, 0.050183843821287155, 0.6308868527412415], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:51, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.36566361784935, 0.01295420341193676, 0.38481375575065613], ""gender"": ""Female"", ""gender_conf"": 0.7098530530929565, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.40099889039993286, ""upper_Body_xyxyn"": [0.04664362221956253, 0.44170498847961426, 0.0754176452755928, 0.6308868527412415], ""lower_Body_xyxyn"": [0.050183843821287155, 0.6308868527412415, 0.050183843821287155, 0.6308868527412415], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:51, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.36599770188331604, 0.01292435359209776, 0.38497763872146606], ""gender"": ""Female"", ""gender_conf"": 0.7098530530929565, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.40099889039993286, ""upper_Body_xyxyn"": [0.04628012701869011, 0.4414413869380951, 0.07516463100910187, 0.6305223107337952], ""lower_Body_xyxyn"": [0.050227392464876175, 0.6305223107337952, 0.050227392464876175, 0.6305223107337952], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:51, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.36605003476142883, 0.012918361462652683, 0.38499099016189575], ""gender"": ""Female"", ""gender_conf"": 0.7098530530929565, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.40099889039993286, ""upper_Body_xyxyn"": [0.04633786529302597, 0.44136476516723633, 0.07518027722835541, 0.6301729083061218], ""lower_Body_xyxyn"": [0.05034196004271507, 0.6301729083061218, 0.05034196004271507, 0.6301729083061218], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:51, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.36605003476142883, 0.012918361462652683, 0.38499099016189575], ""gender"": ""Female"", ""gender_conf"": 0.7098530530929565, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.40099889039993286, ""upper_Body_xyxyn"": [0.04633786529302597, 0.44136476516723633, 0.07518027722835541, 0.6301729083061218], ""lower_Body_xyxyn"": [0.05034196004271507, 0.6301729083061218, 0.05034196004271507, 0.6301729083061218], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:51, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.365856796503067, 0.012922853231430054, 0.38478145003318787], ""gender"": ""Female"", ""gender_conf"": 0.7098530530929565, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.40099889039993286, ""upper_Body_xyxyn"": [0.04647230729460716, 0.44147899746894836, 0.07509677857160568, 0.6304321885108948], ""lower_Body_xyxyn"": [0.05052875354886055, 0.6304321885108948, 0.05052875354886055, 0.6304321885108948], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:51, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.36591362953186035, 0.012947944924235344, 0.38491499423980713], ""gender"": ""Female"", ""gender_conf"": 0.7098530530929565, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.40099889039993286, ""upper_Body_xyxyn"": [0.046336282044649124, 0.4413395822048187, 0.07507002353668213, 0.6305766701698303], ""lower_Body_xyxyn"": [0.050503890961408615, 0.6305766701698303, 0.050503890961408615, 0.6305766701698303], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:51, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.36591362953186035, 0.012947944924235344, 0.38491499423980713], ""gender"": ""Female"", ""gender_conf"": 0.7098530530929565, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.40099889039993286, ""upper_Body_xyxyn"": [0.046336282044649124, 0.4413395822048187, 0.07507002353668213, 0.6305766701698303], ""lower_Body_xyxyn"": [0.050503890961408615, 0.6305766701698303, 0.050503890961408615, 0.6305766701698303], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:51, 23/05/2023",1
