metadata,metadata_type,stream,time,tracking_id
"{""face_xyxyn"": [0.624701976776123, 0.3651026785373688, 0.6396646499633789, 0.4029104709625244], ""gender"": ""Male"", ""gender_conf"": 0.8927105665206909, ""age"": ""20-29"", ""age_conf"": 0.38247647881507874, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.39798232913017273, ""upper_Body_xyxyn"": [0.642291247844696, 0.41612228751182556, 0.6589593291282654, 0.5385393500328064], ""lower_Body_xyxyn"": [0.6290653347969055, 0.5380935668945312, 0.6514454483985901, 0.7526084184646606], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Gray""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:27, 22/05/2023",9
"{""face_xyxyn"": [0.624701976776123, 0.3651026785373688, 0.6396646499633789, 0.4029104709625244], ""gender"": ""Male"", ""gender_conf"": 0.8927105665206909, ""age"": ""20-29"", ""age_conf"": 0.38247647881507874, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.39798232913017273, ""upper_Body_xyxyn"": [0.642291247844696, 0.41612228751182556, 0.6589593291282654, 0.5385393500328064], ""lower_Body_xyxyn"": [0.6290653347969055, 0.5380935668945312, 0.6514454483985901, 0.7526084184646606], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Gray""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:28, 22/05/2023",9
"{""face_xyxyn"": [0.6010094881057739, 0.38383227586746216, 0.6193996667861938, 0.42032280564308167], ""gender"": ""Male"", ""gender_conf"": 0.8927105665206909, ""age"": ""20-29"", ""age_conf"": 0.38247647881507874, ""ethnicity"": ""Black"", ""ethnicity_conf"": 0.407961905002594, ""upper_Body_xyxyn"": [0.5822528600692749, 0.46473342180252075, 0.6243826150894165, 0.5913506150245667], ""lower_Body_xyxyn"": [0.5633717775344849, 0.5886408686637878, 0.6585186719894409, 0.749902069568634], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:28, 22/05/2023",9
"{""face_xyxyn"": [0.5502379536628723, 0.37892842292785645, 0.5786049962043762, 0.42775020003318787], ""gender"": ""Male"", ""gender_conf"": 0.8927105665206909, ""age"": ""20-29"", ""age_conf"": 0.38247647881507874, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.534441351890564, ""upper_Body_xyxyn"": [0.5468000173568726, 0.4573899805545807, 0.5864156484603882, 0.5718574523925781], ""lower_Body_xyxyn"": [0.5488579869270325, 0.5684681534767151, 0.6324915885925293, 0.7574635148048401], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:28, 22/05/2023",9
"{""face_xyxyn"": [0.5502379536628723, 0.37892842292785645, 0.5786049962043762, 0.42775020003318787], ""gender"": ""Male"", ""gender_conf"": 0.8927105665206909, ""age"": ""20-29"", ""age_conf"": 0.38247647881507874, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.534441351890564, ""upper_Body_xyxyn"": [0.5468000173568726, 0.4573899805545807, 0.5864156484603882, 0.5718574523925781], ""lower_Body_xyxyn"": [0.5488579869270325, 0.5684681534767151, 0.6324915885925293, 0.7574635148048401], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:28, 22/05/2023",9
"{""face_xyxyn"": [0.40310102701187134, 0.3574706017971039, 0.4236912131309509, 0.3969540596008301], ""gender"": ""Male"", ""gender_conf"": 0.9640020132064819, ""age"": ""30-39"", ""age_conf"": 0.5097630023956299, ""ethnicity"": ""Black"", ""ethnicity_conf"": 0.6135165095329285, ""upper_Body_xyxyn"": [0.3923148512840271, 0.4223257601261139, 0.4555985629558563, 0.5467731356620789], ""lower_Body_xyxyn"": [0.4051641523838043, 0.5452861189842224, 0.433452308177948, 0.739316463470459], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:29, 22/05/2023",9
"{""face_xyxyn"": [0.3637760579586029, 0.3688775599002838, 0.38686075806617737, 0.41923969984054565], ""gender"": ""Male"", ""gender_conf"": 0.9640020132064819, ""age"": ""30-39"", ""age_conf"": 0.5097630023956299, ""ethnicity"": ""Black"", ""ethnicity_conf"": 0.6135165095329285, ""upper_Body_xyxyn"": [0.3667520582675934, 0.425527423620224, 0.4026687741279602, 0.5463540554046631], ""lower_Body_xyxyn"": [0.3463802933692932, 0.5457476377487183, 0.4413343369960785, 0.733243465423584], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:29, 22/05/2023",9
"{""face_xyxyn"": [0.3637760579586029, 0.3688775599002838, 0.38686075806617737, 0.41923969984054565], ""gender"": ""Male"", ""gender_conf"": 0.9640020132064819, ""age"": ""30-39"", ""age_conf"": 0.5097630023956299, ""ethnicity"": ""Black"", ""ethnicity_conf"": 0.6135165095329285, ""upper_Body_xyxyn"": [0.3667520582675934, 0.425527423620224, 0.4026687741279602, 0.5463540554046631], ""lower_Body_xyxyn"": [0.3463802933692932, 0.5457476377487183, 0.4413343369960785, 0.733243465423584], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:29, 22/05/2023",9
"{""face_xyxyn"": [0.3637760579586029, 0.3688775599002838, 0.38686075806617737, 0.41923969984054565], ""gender"": ""Male"", ""gender_conf"": 0.8748995661735535, ""age"": ""20-29"", ""age_conf"": 0.34068283438682556, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.4464941918849945, ""upper_Body_xyxyn"": [0.3667520582675934, 0.425527423620224, 0.4026687741279602, 0.5463540554046631], ""lower_Body_xyxyn"": [0.3463802933692932, 0.5457476377487183, 0.4413343369960785, 0.733243465423584], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:29, 22/05/2023",17
"{""face_xyxyn"": [0.336122989654541, 0.3635401129722595, 0.3595738112926483, 0.4090147316455841], ""gender"": ""Male"", ""gender_conf"": 0.9640020132064819, ""age"": ""30-39"", ""age_conf"": 0.5097630023956299, ""ethnicity"": ""Black"", ""ethnicity_conf"": 0.6135165095329285, ""upper_Body_xyxyn"": [0.3405351936817169, 0.4171084761619568, 0.36919325590133667, 0.5509294867515564], ""lower_Body_xyxyn"": [0.3474262058734894, 0.5488708019256592, 0.4073081910610199, 0.6988071203231812], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:29, 22/05/2023",9
"{""face_xyxyn"": [0.336122989654541, 0.3635401129722595, 0.3595738112926483, 0.4090147316455841], ""gender"": ""Male"", ""gender_conf"": 0.8748995661735535, ""age"": ""20-29"", ""age_conf"": 0.34068283438682556, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.4464941918849945, ""upper_Body_xyxyn"": [0.3405351936817169, 0.4171084761619568, 0.36919325590133667, 0.5509294867515564], ""lower_Body_xyxyn"": [0.3474262058734894, 0.5488708019256592, 0.4073081910610199, 0.6988071203231812], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:29, 22/05/2023",17
"{""face_xyxyn"": [0.14986570179462433, 0.3558720350265503, 0.1679975688457489, 0.3922615647315979], ""gender"": ""Male"", ""gender_conf"": 0.8290513157844543, ""age"": ""30-39"", ""age_conf"": 0.30543947219848633, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.27828991413116455, ""upper_Body_xyxyn"": [0.15814445912837982, 0.4287435710430145, 0.17378787696361542, 0.5744137167930603], ""lower_Body_xyxyn"": [0.16719964146614075, 0.5696737170219421, 0.22045360505580902, 0.7191972732543945], ""upper_Body_Color"": ""Gray"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:30, 22/05/2023",17
"{""face_xyxyn"": [0.07687044143676758, 0.34557047486305237, 0.09766071289777756, 0.38519564270973206], ""gender"": ""Male"", ""gender_conf"": 0.9531292915344238, ""age"": ""30-39"", ""age_conf"": 0.3090575039386749, ""ethnicity"": ""Black"", ""ethnicity_conf"": 0.45413893461227417, ""upper_Body_xyxyn"": [0.09733410179615021, 0.40839439630508423, 0.10649444162845612, 0.5458804368972778], ""lower_Body_xyxyn"": [0.09988842904567719, 0.5458804368972778, 0.10269374400377274, 0.6510081887245178], ""upper_Body_Color"": ""Gray"", ""lower_Body_Color"": ""Gray""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:30, 22/05/2023",17
"{""face_xyxyn"": [0.057721398770809174, 0.3640359044075012, 0.06917811185121536, 0.38944217562675476], ""gender"": ""Male"", ""gender_conf"": 0.9531292915344238, ""age"": ""30-39"", ""age_conf"": 0.3090575039386749, ""ethnicity"": ""Black"", ""ethnicity_conf"": 0.49473807215690613, ""upper_Body_xyxyn"": [0.06354080140590668, 0.41718629002571106, 0.07877014577388763, 0.5372779965400696], ""lower_Body_xyxyn"": [0.0184575654566288, 0.5340258479118347, 0.07286785542964935, 0.7112128138542175], ""upper_Body_Color"": ""Gray"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:31, 22/05/2023",17
"{""face_xyxyn"": [0.01276499591767788, 0.3571292757987976, 0.037240833044052124, 0.401329904794693], ""gender"": ""Male"", ""gender_conf"": 0.9531292915344238, ""age"": ""30-39"", ""age_conf"": 0.40048080682754517, ""ethnicity"": ""Black"", ""ethnicity_conf"": 0.49473807215690613, ""upper_Body_xyxyn"": [0.014804407954216003, 0.41732144355773926, 0.049058858305215836, 0.5366514325141907], ""lower_Body_xyxyn"": [0.008928571827709675, 0.5312814116477966, 0.10131677240133286, 0.7207306027412415], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:31, 22/05/2023",17
"{""face_xyxyn"": [0.850892961025238, 0.3217400908470154, 0.8662405014038086, 0.3511189818382263], ""gender"": ""Male"", ""gender_conf"": 0.8049383163452148, ""age"": ""20-29"", ""age_conf"": 0.37443146109580994, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.31725355982780457, ""upper_Body_xyxyn"": [0.8475547432899475, 0.3708309233188629, 0.8773980140686035, 0.46982499957084656], ""lower_Body_xyxyn"": [0.8542648553848267, 0.4693668782711029, 0.8774376511573792, 0.6114094853401184], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:55, 22/05/2023",23
"{""face_xyxyn"": [0.7514402270317078, 0.32559800148010254, 0.7662009596824646, 0.3553199768066406], ""gender"": ""unknown"", ""gender_conf"": 0.5352686047554016, ""age"": ""20-29"", ""age_conf"": 0.32744836807250977, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.46218475699424744, ""upper_Body_xyxyn"": [0.7470119595527649, 0.375234454870224, 0.772743284702301, 0.47866755723953247], ""lower_Body_xyxyn"": [0.747424304485321, 0.47185102105140686, 0.7771453857421875, 0.630631148815155], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:55, 22/05/2023",23
"{""face_xyxyn"": [0.658749520778656, 0.3208504021167755, 0.6715525984764099, 0.3463652431964874], ""gender"": ""Male"", ""gender_conf"": 0.9806545376777649, ""age"": ""20-29"", ""age_conf"": 0.536848247051239, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.3559803366661072, ""upper_Body_xyxyn"": [0.6587316393852234, 0.3687211871147156, 0.6816201210021973, 0.46575334668159485], ""lower_Body_xyxyn"": [0.6449269652366638, 0.4635166525840759, 0.6796156167984009, 0.6104966998100281], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:56, 22/05/2023",23
"{""face_xyxyn"": [0.6343530416488647, 0.3329409658908844, 0.6472543478012085, 0.3584948480129242], ""gender"": ""Male"", ""gender_conf"": 0.9806545376777649, ""age"": ""20-29"", ""age_conf"": 0.536848247051239, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.5815032720565796, ""upper_Body_xyxyn"": [0.6187604069709778, 0.3794308006763458, 0.6601870656013489, 0.476220041513443], ""lower_Body_xyxyn"": [0.6163679957389832, 0.475264310836792, 0.6885496377944946, 0.6302484273910522], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:56, 22/05/2023",23
"{""face_xyxyn"": [0.3838616907596588, 0.3151543438434601, 0.39304694533348083, 0.3371657431125641], ""gender"": ""Male"", ""gender_conf"": 0.646011471748352, ""age"": ""30-39"", ""age_conf"": 0.28897252678871155, ""ethnicity"": ""Black"", ""ethnicity_conf"": 0.24577534198760986, ""upper_Body_xyxyn"": [0.39415353536605835, 0.35847264528274536, 0.41492635011672974, 0.46284008026123047], ""lower_Body_xyxyn"": [0.37424877285957336, 0.46134474873542786, 0.4380028247833252, 0.6317178606987], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:58, 22/05/2023",17
"{""face_xyxyn"": [0.3838616907596588, 0.3151543438434601, 0.39304694533348083, 0.3371657431125641], ""gender"": ""Male"", ""gender_conf"": 0.6442330479621887, ""age"": ""30-39"", ""age_conf"": 0.29114335775375366, ""ethnicity"": ""Black"", ""ethnicity_conf"": 0.24488644301891327, ""upper_Body_xyxyn"": [0.39415353536605835, 0.35847264528274536, 0.41492635011672974, 0.46284008026123047], ""lower_Body_xyxyn"": [0.37424877285957336, 0.46134474873542786, 0.4380028247833252, 0.6317178606987], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:58, 22/05/2023",23
"{""face_xyxyn"": [0.3838616907596588, 0.3151543438434601, 0.39304694533348083, 0.3371657431125641], ""gender"": ""Male"", ""gender_conf"": 0.646011471748352, ""age"": ""30-39"", ""age_conf"": 0.28897252678871155, ""ethnicity"": ""Black"", ""ethnicity_conf"": 0.24577534198760986, ""upper_Body_xyxyn"": [0.39415353536605835, 0.35847264528274536, 0.41492635011672974, 0.46284008026123047], ""lower_Body_xyxyn"": [0.37424877285957336, 0.46134474873542786, 0.4380028247833252, 0.6317178606987], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:58, 22/05/2023",17
"{""face_xyxyn"": [0.26661065220832825, 0.33163705468177795, 0.2699022591114044, 0.3476737439632416], ""gender"": ""Male"", ""gender_conf"": 0.6590876579284668, ""age"": ""30-39"", ""age_conf"": 0.21760964393615723, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.2737017273902893, ""upper_Body_xyxyn"": [0.2642313241958618, 0.3708534240722656, 0.2900085747241974, 0.47085681557655334], ""lower_Body_xyxyn"": [0.24858532845973969, 0.47023433446884155, 0.330732136964798, 0.6215420961380005], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:59, 22/05/2023",9
"{""face_xyxyn"": [0.26661065220832825, 0.33163705468177795, 0.2699022591114044, 0.3476737439632416], ""gender"": ""Male"", ""gender_conf"": 0.664780855178833, ""age"": ""30-39"", ""age_conf"": 0.21634486317634583, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.2731386423110962, ""upper_Body_xyxyn"": [0.2642313241958618, 0.3708534240722656, 0.2900085747241974, 0.47085681557655334], ""lower_Body_xyxyn"": [0.24858532845973969, 0.47023433446884155, 0.330732136964798, 0.6215420961380005], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:59, 22/05/2023",17
"{""face_xyxyn"": [0.26661065220832825, 0.33163705468177795, 0.2699022591114044, 0.3476737439632416], ""gender"": ""Male"", ""gender_conf"": 0.6590876579284668, ""age"": ""30-39"", ""age_conf"": 0.21760964393615723, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.2737017273902893, ""upper_Body_xyxyn"": [0.2642313241958618, 0.3708534240722656, 0.2900085747241974, 0.47085681557655334], ""lower_Body_xyxyn"": [0.24858532845973969, 0.47023433446884155, 0.330732136964798, 0.6215420961380005], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:59, 22/05/2023",9
"{""face_xyxyn"": [0.26661065220832825, 0.33163705468177795, 0.2699022591114044, 0.3476737439632416], ""gender"": ""Male"", ""gender_conf"": 0.664780855178833, ""age"": ""30-39"", ""age_conf"": 0.21634486317634583, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.2731386423110962, ""upper_Body_xyxyn"": [0.2642313241958618, 0.3708534240722656, 0.2900085747241974, 0.47085681557655334], ""lower_Body_xyxyn"": [0.24858532845973969, 0.47023433446884155, 0.330732136964798, 0.6215420961380005], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:59, 22/05/2023",17
"{""face_xyxyn"": [0.21214058995246887, 0.31286606192588806, 0.21636652946472168, 0.32784146070480347], ""gender"": ""Male"", ""gender_conf"": 0.7074149250984192, ""age"": ""20-29"", ""age_conf"": 0.2294931858778, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.2519182860851288, ""upper_Body_xyxyn"": [0.2077934741973877, 0.35472533106803894, 0.2314525693655014, 0.4632423520088196], ""lower_Body_xyxyn"": [0.21405188739299774, 0.4627058506011963, 0.24361968040466309, 0.6254469752311707], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:59, 22/05/2023",9
"{""face_xyxyn"": [0.21214058995246887, 0.31286606192588806, 0.21636652946472168, 0.32784146070480347], ""gender"": ""Male"", ""gender_conf"": 0.7017659544944763, ""age"": ""20-29"", ""age_conf"": 0.2307509183883667, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.24930648505687714, ""upper_Body_xyxyn"": [0.2077934741973877, 0.35472533106803894, 0.2314525693655014, 0.4632423520088196], ""lower_Body_xyxyn"": [0.21405188739299774, 0.4627058506011963, 0.24361968040466309, 0.6254469752311707], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:59, 22/05/2023",17
"{""face_xyxyn"": [0.18349869549274445, 0.30791711807250977, 0.1994127333164215, 0.33996355533599854], ""gender"": ""Male"", ""gender_conf"": 0.8071718811988831, ""age"": ""30-39"", ""age_conf"": 0.3302992582321167, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.3878159821033478, ""upper_Body_xyxyn"": [0.18805627524852753, 0.3525404930114746, 0.21253587305545807, 0.4608094096183777], ""lower_Body_xyxyn"": [0.1626138687133789, 0.45973512530326843, 0.2573612332344055, 0.614020049571991], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:59, 22/05/2023",9
"{""face_xyxyn"": [0.18349869549274445, 0.30791711807250977, 0.1994127333164215, 0.33996355533599854], ""gender"": ""Male"", ""gender_conf"": 0.8083445429801941, ""age"": ""30-39"", ""age_conf"": 0.3314345180988312, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.38888025283813477, ""upper_Body_xyxyn"": [0.18805627524852753, 0.3525404930114746, 0.21253587305545807, 0.4608094096183777], ""lower_Body_xyxyn"": [0.1626138687133789, 0.45973512530326843, 0.2573612332344055, 0.614020049571991], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:59, 22/05/2023",17
